               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.013115,           0.0092737,           0.0026594,             0.94381,              0.9382,             0.94714,             0.72642,            0.018349,           0.0086799,           0.0029807,           0.0032975,           0.0032975,           0.0032975
                 111,             0.01293,           0.0088184,           0.0026707,              0.9361,             0.94029,             0.94455,             0.72846,            0.018199,           0.0092141,           0.0028403,            0.003236,            0.003236,            0.003236
                 112,            0.012889,           0.0090553,           0.0025716,             0.93174,             0.93862,             0.94283,             0.71385,            0.018801,           0.0088505,           0.0036259,           0.0031745,           0.0031745,           0.0031745
                 113,            0.012849,           0.0089861,           0.0024357,             0.93462,              0.9424,             0.94834,             0.72769,            0.018601,            0.008782,           0.0030605,            0.003113,            0.003113,            0.003113
                 114,            0.012902,           0.0087189,             0.00235,             0.94003,             0.93048,             0.94226,             0.73499,            0.017669,           0.0088641,           0.0036456,           0.0030516,           0.0030516,           0.0030516
                 115,            0.012598,           0.0088914,           0.0026105,             0.94758,             0.93929,             0.94216,             0.72221,            0.018561,           0.0087226,           0.0026671,           0.0029901,           0.0029901,           0.0029901
                 116,            0.012621,           0.0087964,           0.0024405,             0.93463,             0.93552,             0.93964,             0.73467,             0.01792,            0.008564,           0.0035529,           0.0029286,           0.0029286,           0.0029286
                 117,            0.012226,           0.0087733,           0.0025704,             0.94812,             0.93657,              0.9468,             0.73788,            0.018035,           0.0086223,           0.0025942,           0.0028671,           0.0028671,           0.0028671
                 118,            0.012471,           0.0087546,           0.0023624,             0.94386,             0.92954,             0.94289,              0.7359,            0.017867,           0.0082854,           0.0029271,           0.0028056,           0.0028056,           0.0028056
                 119,            0.012524,           0.0088424,            0.002511,             0.92552,             0.93186,             0.94393,             0.72638,            0.018245,           0.0088967,           0.0037785,           0.0027441,           0.0027441,           0.0027441
                 120,            0.012324,           0.0087449,            0.002379,             0.94108,             0.93637,             0.94284,             0.72442,            0.017881,           0.0085714,            0.003496,           0.0026826,           0.0026826,           0.0026826
                 121,             0.01227,           0.0087598,           0.0023975,             0.92801,             0.95091,             0.93882,             0.72255,            0.018247,           0.0088953,           0.0029633,           0.0026211,           0.0026211,           0.0026211
                 122,              0.0122,           0.0086178,           0.0024265,             0.94038,             0.94318,             0.94485,             0.73077,            0.018093,           0.0087098,           0.0022278,           0.0025596,           0.0025596,           0.0025596
                 123,            0.012084,           0.0088456,           0.0023563,             0.93753,             0.94004,              0.9491,             0.73759,            0.018059,           0.0091381,           0.0024095,           0.0024981,           0.0024981,           0.0024981
                 124,            0.012256,            0.008684,           0.0024477,             0.94926,             0.92851,             0.94916,              0.7413,             0.01806,           0.0085648,            0.002972,           0.0024366,           0.0024366,           0.0024366
                 125,            0.011959,           0.0086288,           0.0024263,             0.94869,             0.92818,             0.94632,             0.73702,            0.017883,           0.0084859,           0.0033817,           0.0023752,           0.0023752,           0.0023752
                 126,            0.011855,           0.0085667,           0.0022296,             0.95309,              0.9292,             0.94347,             0.74123,            0.017678,           0.0089684,           0.0029337,           0.0023137,           0.0023137,           0.0023137
                 127,            0.011749,            0.008562,           0.0021007,             0.94577,             0.94155,             0.94694,             0.73648,            0.017836,           0.0086536,           0.0025347,           0.0022522,           0.0022522,           0.0022522
                 128,            0.011793,           0.0085632,           0.0022506,             0.93596,              0.9399,             0.94516,             0.73636,            0.018137,           0.0091966,           0.0026372,           0.0021907,           0.0021907,           0.0021907
                 129,            0.011768,           0.0085809,           0.0021051,             0.93806,             0.94798,             0.95003,             0.74182,            0.018073,           0.0090816,           0.0021725,           0.0021292,           0.0021292,           0.0021292
                 130,            0.011542,           0.0083766,           0.0020216,             0.92969,             0.93774,             0.94402,             0.73496,            0.017836,           0.0088809,           0.0033684,           0.0020677,           0.0020677,           0.0020677
                 131,            0.011252,           0.0083167,           0.0021682,              0.9355,             0.92808,             0.94323,             0.73223,            0.017961,           0.0088895,           0.0036544,           0.0020062,           0.0020062,           0.0020062
                 132,            0.011259,           0.0084609,            0.002048,             0.93741,             0.93667,             0.94443,             0.73547,             0.01779,           0.0088952,           0.0035982,           0.0019447,           0.0019447,           0.0019447
                 133,            0.011151,           0.0084331,           0.0021901,              0.9419,             0.94344,             0.95097,             0.74199,            0.017558,           0.0088922,           0.0025556,           0.0018832,           0.0018832,           0.0018832
                 134,            0.011283,           0.0084244,           0.0018753,             0.94991,             0.93259,             0.95076,             0.74633,            0.017547,           0.0088252,           0.0024763,           0.0018217,           0.0018217,           0.0018217
                 135,            0.011177,           0.0082434,           0.0019533,             0.93493,             0.94619,             0.94824,             0.74486,            0.017481,           0.0087863,           0.0026266,           0.0017602,           0.0017602,           0.0017602
                 136,            0.011048,           0.0083298,           0.0020505,             0.93768,             0.93649,             0.95049,             0.75116,            0.017183,           0.0088436,           0.0035162,           0.0016988,           0.0016988,           0.0016988
                 137,            0.010874,           0.0083773,           0.0020688,             0.91655,             0.94336,             0.94481,             0.73549,            0.017752,           0.0090822,           0.0041368,           0.0016373,           0.0016373,           0.0016373
                 138,            0.010815,           0.0082978,           0.0020242,             0.93259,             0.94086,             0.94477,              0.7371,            0.017553,            0.008843,           0.0034562,           0.0015758,           0.0015758,           0.0015758
                 139,            0.010809,           0.0081143,           0.0019654,             0.95004,             0.92994,              0.9466,             0.74724,             0.01736,           0.0089211,           0.0028773,           0.0015143,           0.0015143,           0.0015143
                 140,            0.010722,           0.0081268,           0.0021327,             0.95043,             0.93606,             0.94653,             0.74618,            0.017567,           0.0087793,           0.0027882,           0.0014528,           0.0014528,           0.0014528
                 141,            0.010538,           0.0080625,           0.0019594,             0.94328,             0.93567,             0.94419,             0.74318,            0.017537,           0.0089609,           0.0029374,           0.0013913,           0.0013913,           0.0013913
                 142,            0.010365,           0.0079259,           0.0016359,             0.94756,             0.94294,             0.94566,             0.74451,            0.017859,            0.009073,           0.0023074,           0.0013298,           0.0013298,           0.0013298
                 143,            0.010414,           0.0080251,           0.0017581,             0.94035,             0.94371,             0.94486,             0.73967,            0.017666,           0.0091611,           0.0029731,           0.0012683,           0.0012683,           0.0012683
                 144,            0.010336,           0.0079798,           0.0016494,             0.94958,             0.94367,             0.94751,             0.74633,            0.017386,           0.0093012,           0.0025049,           0.0012068,           0.0012068,           0.0012068
                 145,            0.010273,             0.00805,           0.0017246,             0.95486,             0.92824,             0.94329,             0.74101,            0.017483,           0.0090632,            0.002855,           0.0011453,           0.0011453,           0.0011453
                 146,            0.010194,           0.0079734,           0.0017359,             0.95423,             0.92936,             0.94861,             0.74855,            0.017341,           0.0090801,           0.0029709,           0.0010839,           0.0010839,           0.0010839
                 147,            0.010197,           0.0078398,           0.0016153,             0.93819,             0.94273,             0.95075,             0.75097,            0.017658,           0.0091407,            0.002565,           0.0010224,           0.0010224,           0.0010224
                 148,            0.010051,           0.0078718,           0.0017596,             0.94396,             0.94091,             0.94807,             0.74525,             0.01756,           0.0093505,           0.0022952,          0.00096087,          0.00096087,          0.00096087
                 149,            0.009999,           0.0077717,           0.0016189,             0.94963,             0.93524,             0.95121,             0.74614,            0.017682,           0.0093621,           0.0021237,          0.00089938,          0.00089938,          0.00089938
                 150,            0.009861,           0.0078689,           0.0014988,             0.94422,             0.94032,             0.94878,              0.7463,            0.017506,           0.0090989,           0.0024319,          0.00083789,          0.00083789,          0.00083789
                 151,           0.0097105,           0.0077416,           0.0014949,             0.93335,             0.94757,             0.94974,             0.74807,            0.017519,           0.0089888,           0.0025322,           0.0007764,           0.0007764,           0.0007764
                 152,           0.0098392,           0.0076844,           0.0016138,             0.93304,             0.95269,             0.95279,             0.75564,            0.017452,           0.0089614,           0.0021212,          0.00071491,          0.00071491,          0.00071491
                 153,           0.0097371,           0.0077401,           0.0016826,             0.94657,             0.93831,             0.94989,             0.75091,            0.017692,            0.009117,           0.0020389,          0.00065342,          0.00065342,          0.00065342
                 154,           0.0096415,           0.0076722,            0.001452,             0.93878,             0.94069,             0.94812,             0.74596,            0.017704,           0.0093208,           0.0025288,          0.00059193,          0.00059193,          0.00059193
